,dividend
1999,0.12
2000,0.51
2001,0.55
2002,0.5900000000000001
2003,0.63
2004,0.7
2005,0.78
2006,1.1
2007,1.5
2008,1.9
2009,2.1500000000000004
2010,2.5
2011,2.9
2012,3.3000000000000003
2013,3.7
2014,4.25
2015,5.0
2016,5.5
2017,5.9
2018,6.210000000000001
2019,6.430000000000001
2020,6.51
2021,3.2699999999999996
